TAX_ID,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
TAX_ID_1004930,0.002043,0.000818,0.000193,0.000241,0.003048,0.0087,0.000093,0,0,0,0,0,0,0,0,0.023314,0.000773,0.004446,0.00043,0.000198,0.000499,0.002414,0.00022,0,0,0,0,0,0.000094,0.001225,0.00044,0.000721,0,0,0,0.000345,0.00113
TAX_ID_10191,0,0,0,0,0.000254,0,0,0.000513,0,0,0,0,0,0,0,0,0,0.000278,0,0,0,0,0,0,0,0,0,0,0.000094,0.000111,0,0,0.000249,0,0,0,0
TAX_ID_10206,0.000102,0.000245,0,0,0,0,0.000093,0,0,0,0,0,0,0,0,0.000432,0.000258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_10220,0,0.000164,0.000097,0,0.000254,0.000207,0.000093,0.000256,0,0,0,0.000871,0.00236,0,0,0,0,0.000278,0,0,0,0,0.00033,0,0,0,0.000282,0,0.000188,0.000223,0,0,0,0,0,0.000172,0.000188
TAX_ID_10233,0,0,0,0,0,0.000207,0,0,0,0,0,0,0,0,0,0,0.000258,0,0,0,0,0,0,0,0,0,0.000282,0,0,0,0,0,0,0,0,0.000345,0
TAX_ID_1035538,0,0,0.000193,0.000241,0.000254,0.000414,0.000093,0,0,0,0,0,0,0,0,0,0,0,0,0.000099,0.000666,0,0.00033,0,0,0,0,0,0.000188,0.000111,0.00022,0.002164,0,0,0.000958,0.000172,0
TAX_ID_1042312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_1051663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_1055546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_1075807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_1077257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_113507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_113508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_113509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_113510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_113511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_115361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_115366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_115371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_117565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_117569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_117743,0.048014,0.023962,0.020576,0.026232,0.029719,0.036459,0.000559,0.006152,0.00127,0.013657,0.004192,0.005227,0.007081,0.006347,0.002469,0.60488,0.15826,0.380161,0.031178,0.090995,0.021974,0.021722,0.122424,0.003062,0.084972,0.001115,0.005638,0.011209,0.016628,0.01804,0.006377,0.012263,0.021416,0.013031,0.013891,0.046191,0.026356
TAX_ID_117747,0.000102,0.000327,0.000097,0.000241,0.000254,0,0.000093,0,0,0,0,0,0,0,0,0.000432,0.000258,0,0,0,0,0,0.00022,0,0.008981,0,0,0,0,0,0.00022,0,0,0,0,0,0.000188
TAX_ID_118001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_118072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_119088,0.000102,0,0,0,0,0,0.000186,0.000256,0,0,0,0,0,0,0,0,0.000258,0.000278,0,0,0,0.000483,0,0,0,0,0,0,0.000094,0.000111,0,0.000721,0,0,0,0,0
TAX_ID_119089,0.014915,0.013085,0.00966,0.01083,0.011176,0.013465,0.002051,0.015379,0.005079,0.008691,0.008383,0.004356,0.009441,0.008885,0.008643,0.037994,0.023713,0.028345,0.008171,0.002668,0.026135,0.037652,0.255837,0.003062,0.062175,0.00669,0.006484,0.01978,0.008737,0.024944,0.153485,0.024526,0.057275,0.043626,0.008143,0.043088,0.018638
