CAZyme,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
AA10,7,6,2,7,5,5,0,0,0,0,0,0,0,0,0,0,3,5,0,2,0,0,2,0,0,2,0,0,3,2,4,0,2,0,0,1,0
AA12,75,79,62,6,15,26,20,6,2,1,0,3,0,0,0,16,11,25,3,24,1,1,1,0,1,22,21,7,34,9,26,3,11,5,23,10,2
AA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0
AA1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AA1_2,3,7,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,4,1,4,0,0,0,0,0,0
AA1_3,8,7,3,4,5,3,4,5,0,0,0,0,0,0,0,1,1,1,1,18,3,2,1,2,0,3,0,0,5,2,1,1,2,1,3,0,1
AA2,56,67,26,15,24,31,5,6,2,3,1,3,1,0,0,27,38,52,22,36,2,3,3,1,2,10,6,6,110,40,7,5,10,5,6,15,1
AA3,122,187,170,19,36,67,52,27,1,1,7,4,3,4,1,88,87,105,81,115,49,30,94,0,36,37,51,9,135,34,102,16,62,25,52,95,20
AA3_1,2,3,3,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,0,1,0
AA3_2,691,880,635,201,208,272,211,9,7,0,1,23,0,0,0,100,115,221,30,284,4,1,16,30,17,204,68,0,278,123,53,0,34,33,96,37,10
AA3_4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AA4,203,291,183,44,57,81,90,187,17,84,63,37,46,41,40,44,113,88,123,134,392,334,384,12,86,66,92,88,248,78,250,216,480,244,45,805,319
AA5,2,4,11,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,3,1,0,1,2,3,1,4,2,3,0,0
AA5_2,5,8,4,0,2,4,0,0,0,0,0,0,0,0,0,4,0,10,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
AA6,503,576,404,202,185,226,122,307,72,185,110,119,100,65,88,89,152,125,124,142,259,245,209,46,66,135,124,193,475,174,273,322,700,364,51,540,250
AA7,771,972,841,246,335,422,290,109,37,38,12,75,9,0,8,95,124,146,104,144,40,20,52,48,15,371,140,39,322,150,129,21,126,79,121,173,48
CBM11,16,8,1,0,3,4,0,1,1,1,1,1,0,0,0,2,3,11,2,3,5,7,2,0,0,0,0,2,37,15,2,0,0,0,0,6,1
CBM12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1
CBM13,15,24,7,5,4,6,1,7,1,3,33,2,29,35,20,9,10,11,8,34,16,13,51,0,26,0,2,1,38,4,5,3,7,5,2,28,6
CBM16,11,14,9,3,3,6,0,8,4,7,3,3,0,2,4,29,10,13,6,3,33,33,16,0,1,2,7,12,18,1,22,5,44,19,0,38,13
CBM2,6,7,7,3,2,6,0,0,0,1,0,0,0,0,0,0,2,0,2,2,3,2,16,0,2,2,1,0,3,12,35,2,14,5,1,16,2
CBM20,7,5,2,0,0,1,2,3,0,0,8,0,6,4,4,2,1,5,12,3,7,6,22,0,5,1,2,1,36,2,3,0,1,1,0,2,5
CBM21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
