CAZyme,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
AA10,3,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0
AA12,34,36,24,1,6,9,11,3,0,0,0,0,0,0,0,11,7,13,1,16,0,0,1,0,0,9,10,3,21,3,11,1,5,2,14,2,0
AA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AA1_2,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1_3,3,2,1,2,2,2,3,4,0,0,0,0,0,0,0,1,0,1,1,15,3,1,1,0,0,1,0,0,5,2,0,0,1,1,2,0,1
AA2,11,14,1,2,2,7,0,0,0,0,0,0,0,0,0,2,7,10,6,8,0,0,0,0,0,1,0,0,51,14,1,0,1,0,0,0,0
AA3,0,10,11,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3,5,11,2,1,5,0,1,4,3,1,6,1,9,0,2,0,3,2,1
AA3_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA3_2,36,40,37,5,7,14,19,0,0,0,0,0,0,0,0,7,10,16,1,16,0,0,4,2,0,16,8,0,19,8,9,0,2,6,10,2,0
AA4,2,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,3,1,1,0,0,1,0,0,0,2,0,0,1,2,1,0,2,1
AA5,0,2,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,2,1,1,1,1,0,0,0
AA5_2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AA6,21,20,15,13,10,11,9,8,3,6,1,4,0,0,2,4,2,6,3,1,6,7,8,0,0,12,5,4,14,2,12,10,28,17,2,16,9
AA7,134,176,109,29,42,46,28,4,2,0,0,6,1,0,0,6,16,25,8,2,0,0,1,3,0,34,19,3,36,37,4,0,7,3,22,3,1
CBM11,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,1,0,0,0,0,0,8,4,2,0,0,0,0,2,0
CBM13,1,4,2,2,2,1,1,0,0,0,3,0,4,0,0,1,3,6,2,6,2,3,17,0,2,0,0,0,15,2,3,0,5,2,0,10,2
CBM16,0,0,1,0,0,0,0,1,1,2,1,1,0,0,1,2,1,2,1,2,11,18,4,0,1,0,2,5,8,0,17,4,27,12,0,17,5
CBM2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,1,0,0,0,0,6,0,3,1,0,3,0
CBM20,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,3,0,2,3,7,0,1,0,1,1,3,0,0,0,0,0,0,0,0
CBM21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBM22,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3,4,3,4,0,0,0,0,2,0,1,3,2,5,4,0,3,2
CBM23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,3,4,0,5,1,0,0,0,0,0,1,0,0,0,3,3
CBM25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CBM26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBM28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CBM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
CBM30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CBM32,9,15,9,4,4,5,2,13,1,3,3,2,7,2,8,17,17,19,7,38,37,30,43,0,19,0,4,17,28,3,102,17,99,43,0,56,14
CBM34,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,1,0,0,1,0,2,0,0,1,0
CBM35,6,4,0,0,2,0,0,0,1,0,0,0,0,0,0,9,1,2,1,4,2,1,5,0,0,0,1,1,2,2,11,1,7,6,0,9,1
CBM35inCE17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CBM38,7,12,13,1,1,3,0,19,4,11,1,3,1,2,3,8,4,8,14,4,30,23,78,2,7,1,7,23,14,0,48,14,66,38,4,90,20
CBM39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBM4,3,5,0,1,2,3,0,15,1,9,1,2,5,0,2,18,10,7,3,3,16,18,31,1,7,0,18,16,11,3,13,21,48,30,2,33,11
CBM40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0
CBM41,4,0,0,3,0,1,0,1,1,2,2,0,1,1,2,0,3,2,2,5,8,8,32,0,16,0,0,0,3,5,0,0,0,0,0,15,3
