CAZyme	ART45	ART46	ART47	ART48	ART49	ART50	CIGOMA4	CIGOMD18	DELGOM54	DELGOM55	DELGOM56	DELGOM57	DELGOM58	DELGOM59	DELGOM60	DSANT06	DSANT08	DSANT09	DSANT11	DSANT95	GBGOC44	GBGOC45	GBGOC47	GYRPAC92	HRSPAC47	HRSPAC64	HRSPAC65	KJGOM4	KJGOM5	KJGOM6	KOR52	KOR58	LOKART30	LOKART60	LOKART62	LOKART95	MARPAC23	SMMPAC33	SMMPAC46
AA10	0.23658	0.0687547	0	0.628603	0.442565	0.339995	0	0	0	0	0	0	0	0	0	0	0	0.921265	0	0	0	0	0	0	0	0	0	0.258772	0	0	0.125763	0	0.271405	0	0.0869195	0	0	0	0
AA12	2.68124	2.47517	2.06538	0.209534	1.32769	1.52998	3.01063	0.714124	0	0	0	0	0	0	0	3.94823	2.4937	3.99215	0.370705	6.25198	0	0	0.161148	0	0	0	0	2.32895	2.75066	0.895592	2.64101	1.69911	1.49273	0.301504	0.434597	0.281728	9.15909	0.162883	0
AA15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0814416	0
AA1_2	0.0788599	0.206264	0	0	0	0.679991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135703	0	0	0	0	0	0
AA1_3	0.23658	0.137509	0.0860576	0.419069	0.442565	0.339995	0.821082	0.952165	0	0	0	0	0	0	0	0.35893	0	0.307088	0.370705	5.86123	0.686195	0.257941	0.161148	0	0	0	0	0.258772	0	0	0.628813	1.13274	0	0	0.0869195	0.140864	1.30844	0	0.237856
AA2	0.867459	0.962566	0.0860576	0.419069	0.442565	1.18998	0	0	0	0	0	0	0	0	0	0.71786	2.4937	3.07088	2.22423	3.12599	0	0	0	0	0	0	0	0.258772	0	0	6.41389	7.92919	0.135703	0	0.0869195	0	0	0	0
AA3	0	0.687547	0.946634	0.209534	0	0	0.547388	0.238041	0	0	0	0	0	0	0	0	0	0.921265	1.85353	4.29824	0.457463	0.257941	0.805739	0	0.799006	0.43765	0.942847	1.03509	0.825197	0.298531	0.754575	0.56637	1.22132	0	0.173839	0	1.96266	0.162883	0.237856
AA3_1	0	0	0	0	0	0.169998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA3_2	2.83896	2.75019	3.18413	1.04767	1.54898	2.37997	5.20019	0	0	0	0	0	0	0	0	2.51251	3.56243	4.91341	0.370705	6.25198	0	0	0.644591	0.472032	0	0.218825	0	4.14035	2.20053	0	2.38949	4.53096	1.22132	0	0.173839	0.845185	6.54221	0.162883	0
AA4	0.15772	0.0687547	0.0860576	0	0	0	0	0	0	0.367124	0	0	0.547377	0.663065	0.602881	0	0.712486	0	0	1.17225	0.228732	0.257941	0	0	0.799006	0	0	0	0	0	0.251525	0	0	0.301504	0.173839	0.140864	0	0.162883	0.237856
