TAXA	ART45	ART46	ART47	ART48	ART49	ART50	CIGOMA4	CIGOMD18	DELGOM54	DELGOM55	DELGOM56	DELGOM57	DELGOM58	DELGOM59	DELGOM60	DSANT06	DSANT08	DSANT09	DSANT11	DSANT95	GBGOC44	GBGOC45	GBGOC47	GYRPAC92	HRSPAC47	KJGOM4	KJGOM5	KJGOM6	KOR52	KOR58	LOKART30	LOKART60	LOKART62	LOKART95	MARPAC23	SMMPAC33	SMMPAC46
Oxygen	oxic	oxic	oxic	oxic	oxic	oxic	oxic	anoxic	oxic	anoxic	anoxic	oxic	anoxic	anoxic	anoxic	oxic	oxic	oxic	oxic	oxic	anoxic	anoxic	anoxic	oxic	anoxic	oxic	oxic	anoxic	oxic	oxic	anoxic	anoxic	anoxic	anoxic	oxic	anoxic	anoxic
k__Archaea|p__Candidatus_Aenigmarchaeota	0.017482	0.020195	0.012778	0.012286	0.009616	0.007115	0.011845	0.048526	0.011613	0.024161	0.020478	0.008688	0.016312	0.020775	0.015147	0.008574	0.007404	0.007572	0.008022	0.002242	0.016154	0.008701	0.006991	0.605133	0.002718	0.004397	0.02393	0.024052	0.037789	0.010951	0.00216	0.004326	0.002413	0.002085	0.010523	0.10229	0.002254
k__Archaea|p__Candidatus_Bathyarchaeota	0.007518	0.008981	0.007574	0.007291	0.014103	0.010103	0.035534	0.62501	0.26012	1.789123	0.10846	0.456751	0.279642	0.032647	0.215846	0.045208	0.085488	0.044593	0.058982	0.004857	0.320062	0.280296	0.091923	0.007717	0.011117	0.016597	0.080906	0.512973	0.08444	0.047523	0.026784	0.242948	0.089218	0.152237	0.003215	0.173965	0.257031
k__Archaea|p__Candidatus_Diapherotrites	0.023354	0.02097	0.020098	0.018378	0.03013	0.025757	0.019558	0.082817	0.071998	0.084564	0.064469	0.052129	0.076319	0.084585	0.088358	0.232274	0.125876	0.124524	0.064172	0.141223	0.086657	0.11962	0.279212	0.010932	0.07214	0.018583	0.091732	0.15	0.079488	0.053515	0.068723	0.108154	0.090903	0.163707	0.011985	0.123456	0.046448
k__Archaea|p__Candidatus_Geothermarchaeota	0.031494	0.037746	0.034611	0.032861	0.061541	0.044825	0.187037	0.229364	0.281023	0.351543	0.486173	0.191141	0.425289	0.559451	0.376785	0.13952	0.191843	0.172482	0.206673	0.141223	0.314855	0.229702	0.077107	0.043086	0.085728	0.059861	0.197707	0.184985	0.215008	0.125006	0.022431	0.072862	0.038328	0.088631	0.022508	0.115008	0.097886
k__Archaea|p__Candidatus_Heimdallarchaeota	0.000489	0.00041	0.000254	0	0.000214	0.000569	0.000275	0.007441	0	0.008456	0.009102	0.001241	0.001748	0.000742	0.002525	0.000779	0.002693	0.001683	0.004719	0	0	0.000451	0.00313	0	0.004694	0	0.00057	0.003061	0.003388	0.001446	0.001239	0.022769	0.000546	0.003128	0.000438	0.042878	0.027691
k__Archaea|p__Candidatus_Hydrothermarchaeota	0	0	0.000042	0	0	0.000142	0	0.001618	0.004645	0	0	0	0	0	0.000631	0	0	0	0	0	0.000243	0.000773	0.000835	0	0.001235	0	0	0.001749	0.000261	0.000413	0	0	0.000046	0	0	0	0.000563
k__Archaea|p__Candidatus_Korarchaeota	0.021307	0.023204	0.017094	0.01688	0.029275	0.029314	0.053439	0.137489	0.13006	0.211409	0.159277	0.132805	0.076319	0.113523	0.08962	0.123931	0.156167	0.141351	0.113717	0.046327	0.429684	0.300598	0.088271	0.014148	0.190974	0.028512	0.105976	0.122449	0.102162	0.065292	0.015727	0.094037	0.036143	0.10462	0.009939	0.122729	0.116562
k__Archaea|p__Candidatus_Lokiarchaeota	0.089189	0.07923	0.050943	0.053937	0.102569	0.104593	0.095034	1.09862	0.397148	1.930465	1.651927	0.73105	1.74485	2.114636	1.493253	5.475576	4.290551	1.077802	7.623308	0.472239	0.469631	0.586243	3.24902	0.050803	3.981046	0.07121	0.417065	1.246354	0.472237	0.27646	1.208986	0.528246	0.758903	2.516084	0.038585	17.860786	4.962242
k__Archaea|p__Candidatus_Micrarchaeota	0.012945	0.017505	0.010959	0.015881	0.015599	0.015226	0.024791	0.080553	0.053418	0.04953	0.032614	0.047165	0.032625	0.027453	0.03345	0.074047	0.065967	0.078248	0.075497	0.039229	0.087581	0.105635	0.074603	0.007717	0.039035	0.008511	0.050139	0.062974	0.056554	0.04401	0.016108	0.038935	0.030862	0.052831	0.007162	0.050418	0.035339
k__Archaea|p__Candidatus_Parvarchaeota	0.000133	0.000319	0.000338	0.0003	0.000427	0.000285	0.000826	0.001618	0	0	0	0	0	0.001484	0.000631	0.004677	0.006058	0.002524	0.000472	0	0.001411	0.001482	0.004904	0	0.000741	0.000426	0.00114	0.001312	0.003388	0.001446	0.000572	0.000683	0.001138	0.003823	0.000292	0.006359	0.001771
k__Archaea|p__Candidatus_Thorarchaeota	0	0	0	0	0	0	0	0.006794	0	0.008456	0	0.003724	0.000583	0.000742	0.000631	0	0	0	0	0	0.002336	0.005092	0.000522	0	0.000494	0	0.00114	0.005248	0.001564	0	0	0	0	0	0.000292	0.002544	0.003059
k__Archaea|p__Candidatus_Woesearchaeota	0.005027	0.003647	0.002835	0.001998	0.002137	0.004411	0.002204	0.035262	0.006968	0.019329	0.012894	0.0211	0.011652	0.011872	0.008205	0.011692	0.013463	0.037862	0.013212	0.004857	0.013089	0.02462	0.045701	0.001286	0.024953	0.002695	0.014814	0.049417	0.023455	0.01653	0.035394	0.02072	0.009514	0.039276	0.001315	0.03452	0.013524
k__Archaea|p__Crenarchaeota	1.552416	1.689359	1.45201	1.451691	2.4623	2.152614	4.68475	8.605859	6.686485	8.920245	5.713484	6.365972	5.711689	5.629382	5.552049	11.663562	9.130379	10.560104	7.246767	5.829015	14.29149	10.175338	10.260514	1.417979	4.206607	2.123661	7.168741	7.042555	7.440593	4.329347	2.68438	4.687504	2.820351	8.885367	0.913919	6.128832	4.361483
k__Archaea|p__Euryarchaeota	11.093862	14.213537	12.188644	11.540417	21.300619	16.821895	67.524908	76.713521	75.304828	77.484356	88.325016	65.494173	87.592631	87.977741	88.285599	73.825577	79.559636	80.491868	80.365122	89.819585	79.20875	83.31779	73.194305	12.366321	88.432386	20.854316	70.31542	52.633305	75.582086	46.968238	12.15979	27.825606	14.70603	46.13342	7.765903	68.988015	86.287262
k__Archaea|p__Nanoarchaeota	0.026245	0.022429	0.018533	0.021575	0.030984	0.029314	0.027821	0.109021	0.07432	0.095436	0.093291	0.070747	0.173029	0.128362	0.135062	0.154329	0.110394	0.104331	0.063229	0.089666	0.255105	0.201924	0.229755	0.010289	0.105987	0.015462	0.102557	0.13688	0.106071	0.059714	0.083147	0.07104	0.041742	0.145633	0.011839	0.16379	0.060374
k__Archaea|p__Thaumarchaeota	87.118541	83.862468	86.183287	86.826505	75.940484	80.753835	27.331976	12.216489	16.717375	9.022929	3.322816	26.423314	3.857313	3.296605	3.702208	8.240255	6.254081	7.155057	4.156109	3.409537	4.502951	4.641735	12.393209	85.464589	2.840145	76.795771	21.428164	37.822685	15.791517	48.000107	83.674559	66.28217	81.373865	41.709158	91.202082	6.08441	3.726512
