TAXA	ART45	ART46	ART47	ART48	ART49	ART50	CIGOMA4	CIGOMD18	DELGOM54	DELGOM55	DELGOM56	DELGOM57	DELGOM58	DELGOM59	DELGOM60	DSANT06	DSANT08	DSANT09	DSANT11	DSANT95	GBGOC44	GBGOC45	GBGOC47	GYRPAC92	HRSPAC47	KJGOM4	KJGOM5	KJGOM6	KOR52	KOR58	LOKART30	LOKART60	LOKART62	LOKART95	MARPAC23	SMMPAC33	SMMPAC46
Oxygen	oxic	oxic	oxic	oxic	oxic	oxic	oxic	anoxic	oxic	anoxic	anoxic	oxic	anoxic	anoxic	anoxic	oxic	oxic	oxic	oxic	oxic	anoxic	anoxic	anoxic	oxic	anoxic	oxic	oxic	anoxic	oxic	oxic	anoxic	anoxic	anoxic	anoxic	oxic	anoxic	anoxic
Candidatus_Babeliae	0.003654	0.003088	0.003096	0.003244	0.003135	0.004001	0.000869	0.004171	0.001707	0.005671	0.004624	0.002786	0.006166	0.005492	0.005618	0.003979	0.002942	0.001853	0.00214	0.000529	0.00581	0.004662	0.037259	0.001053	0.009084	0.001432	0.002931	0.006709	0.002216	0.002347	0.043175	0.010634	0.034742	0.03778	0.002576	0.013268	0.009401
Acidobacteriia	0.260844	0.313164	0.349272	0.313544	0.305642	0.30207	0.299456	0.376513	0.409053	0.403901	0.402192	0.40002	0.364562	0.390906	0.369544	0.137287	0.213431	0.149421	0.331516	0.051655	0.171838	0.138204	0.16988	0.201059	0.178702	0.391793	0.432107	0.435319	0.295534	0.243949	0.226108	0.270947	0.235546	0.230676	0.356767	0.327857	0.321599
Blastocatellia	0.017067	0.02197	0.024429	0.02115	0.020825	0.01955	0.025309	0.02933	0.032389	0.034815	0.042257	0.032916	0.041684	0.044912	0.043959	0.009789	0.016268	0.010949	0.028431	0.003237	0.014955	0.012388	0.015254	0.016407	0.015962	0.029889	0.032164	0.032406	0.020486	0.018424	0.022122	0.02386	0.021017	0.018706	0.028714	0.024689	0.024898
Holophagae	0.000285	0.000204	0.000407	0.000351	0.000324	0.000315	0.000092	0.000181	0.000107	0.000042	0	0.000069	0.000074	0	0.000079	0.000138	0.000116	0.000037	0.000219	0.000009	0.000174	0.000176	0.000322	0.000034	0.000017	0.000239	0.000102	0.00014	0.000139	0.00017	0.000032	0.000154	0.000016	0.000069	0.00007	0.000151	0.000195
Vicinamibacteria	0.077255	0.113297	0.134759	0.117453	0.115704	0.110028	0.129999	0.082155	0.126035	0.083557	0.064346	0.114743	0.050435	0.049468	0.05268	0.024236	0.043	0.031053	0.07133	0.00947	0.021674	0.019658	0.019616	0.063283	0.017203	0.160829	0.130231	0.084979	0.087052	0.073144	0.039661	0.035466	0.035569	0.035662	0.159472	0.062543	0.061028
Acidimicrobiia	0.157632	0.207668	0.17277	0.180026	0.317364	0.270045	0.137567	0.094829	0.131531	0.100861	0.134669	0.114778	0.094666	0.106463	0.100174	0.463205	0.369066	0.781329	0.222148	0.595092	0.03745	0.025518	0.046239	0.061313	0.039526	0.129848	0.117708	0.087535	0.148305	0.158126	0.069881	0.05289	0.054035	0.055416	0.098648	0.101488	0.078206
Actinobacteria	15.697736	19.495593	21.956793	20.301144	20.091216	17.806022	28.702531	24.628673	28.192425	25.521742	23.889215	26.253123	21.332781	21.065134	22.241279	8.088612	12.080025	10.04475	20.1394	10.166067	9.542939	6.998942	8.132262	49.826064	8.520712	25.662884	25.067168	21.298993	20.849416	20.828902	19.973743	14.589704	13.196493	13.569719	21.183738	20.237969	18.496448
Coriobacteriia	0.178611	0.208752	0.226791	0.209932	0.207461	0.196092	0.248036	0.32917	0.329387	0.383471	0.377542	0.320188	0.344329	0.353236	0.362669	0.111375	0.171055	0.119863	0.282515	0.667069	0.140229	0.111255	0.129	0.125887	0.162878	0.244737	0.279684	0.304735	0.222366	0.222606	0.212821	0.245065	5.591984	19.455337	0.217578	0.272419	0.287623
Nitriliruptoria	0.08279	0.10689	0.128329	0.112105	0.120953	0.107575	0.156948	0.122712	0.161999	0.138428	0.131752	0.145424	0.107626	0.111223	0.113923	0.052624	0.079136	0.072472	0.124257	0.102486	0.040357	0.030388	0.03844	0.069839	0.040646	0.143181	0.142145	0.106623	0.119348	0.137211	0.070229	0.067505	0.068017	0.058121	0.117385	0.094006	0.09099
