CAZyme	ART45	ART46	ART47	ART48	ART49	ART50	CIGOMA4	CIGOMD18	DELGOM54	DELGOM55	DELGOM56	DELGOM57	DELGOM58	DELGOM59	DELGOM60	DSANT06	DSANT08	DSANT09	DSANT11	DSANT95	GBGOC44	GBGOC45	GBGOC47	GYRPAC92	HRSPAC47	KJGOM4	KJGOM5	KJGOM6	KOR52	KOR58	LOKART30	LOKART60	LOKART62	LOKART95	MARPAC23	SMMPAC33	SMMPAC46
Oxygen	oxic	oxic	oxic	oxic	oxic	oxic	oxic	anoxic	oxic	anoxic	anoxic	oxic	anoxic	anoxic	anoxic	oxic	oxic	oxic	oxic	oxic	anoxic	anoxic	anoxic	oxic	anoxic	oxic	oxic	anoxic	oxic	oxic	anoxic	anoxic	anoxic	anoxic	oxic	anoxic	anoxic
AA10	0.55202	0.412528	0.172115	1.46674	1.10641	0.849989	0	0	0	0	0	0	0	0	0	0	1.06873	1.53544	0	0.781498	0	0	0.322296	0	0	0.517544	0	0	0.377288	1.13274	0.54281	0	0.173839	0	0	0.0814416	0
AA12	5.91449	5.43162	5.33557	1.25721	3.31924	4.41994	5.47388	1.42825	1.14003	0.367124	0	1.11205	0	0	0	5.74288	3.91868	7.67721	1.11212	9.37797	0.228732	0.257941	0.161148	0	0.799006	5.69298	5.77638	2.08972	4.27593	5.09733	3.52827	0.904511	0.956114	0.704321	15.0471	0.814416	0.475711
AA15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135703	0	0	0.140864	0	0.407208	0
AA1_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258772	0	0	0	0	0	0	0	0	0	0	0
AA1_2	0.23658	0.481283	0.0860576	0.209534	0.442565	0.679991	0.547388	0.714124	0	0	0	0	0	0	0	0	0	0	0	1.563	0	0	0	0.236016	0	0	0.275066	0	0.50305	0.56637	0.54281	0	0	0	0	0	0
AA1_3	0.630879	0.481283	0.258173	0.838138	1.10641	0.509993	1.09478	1.19021	0	0	0	0	0	0	0	0.35893	0.356243	0.307088	0.370705	7.03348	0.686195	0.515882	0.161148	0.472032	0	0.776315	0	0	0.628813	1.13274	0.135703	0.301504	0.173839	0.140864	1.96266	0	0.237856
AA2	4.41616	4.60657	2.2375	3.14302	5.31078	5.26993	1.36847	1.42825	1.14003	1.10137	0.507118	1.11205	0.547377	0	0	9.69111	13.5372	15.9686	8.15551	14.067	0.457463	0.773822	0.483443	0.236016	1.59801	2.58772	1.65039	1.79118	13.8339	22.6548	0.949918	1.50752	0.869195	0.704321	3.92532	1.22162	0.237856
AA3	9.62091	12.8571	14.6298	3.98115	7.96617	11.3898	14.2321	6.42712	0.570015	0.367124	3.54982	1.48274	1.64213	2.65226	0.602881	31.5858	30.9932	32.2443	30.0271	44.9361	11.2078	7.73822	15.1479	0	28.7642	9.57456	14.0283	2.68678	16.9779	19.2566	13.8417	4.82406	5.38901	3.5216	34.0195	7.73695	4.75711
AA3_1	0.15772	0.206264	0.258173	0	0.663847	0.339995	0.547388	0.238041	0	0	0	0	0	0	0	0	0	0	0.370705	0	0	0	0	0	0	0	0.275066	0	0	0	0.135703	0	0.347678	0.281728	0	0.0814416	0
