Bin ID,CGC (CAZyme modules),Taxonomy (Class)
ART45_maxbin.050,GH23+CBM50,Desulfobulbia
ART46_maxbin.023,GH103,Gammaproteobacteria
ART46_maxbin.029,CE4,Gammaproteobacteria
ART46_maxbin.029,GH23+CE11,Gammaproteobacteria
ART46_maxbin.051,GH23,Gammaproteobacteria
ART46_maxbin.055,GT4,UBA9160
ART46_maxbin.071,GH23+CBM50,Gammaproteobacteria
ART48_maxbin.026,GH23,Gammaproteobacteria
CIGOMA4_maxbin.004,GH23,Methylomirabilia
CIGOMA4_maxbin.004,GT4,Methylomirabilia
DELGOM57_maxbin.002,GH23,Gammaproteobacteria
DSANT06_maxbin.002,CBM51+GH2,Bacteroidia
DSANT06_maxbin.002,CE14,Bacteroidia
DSANT06_maxbin.016,GH3,Bacteroidia
DSANT06_maxbin.024,GH23,Alphaproteobacteria
DSANT06_maxbin.029,GH3+CBM9,Acidimicrobiia
DSANT06_maxbin.045,GH23,Gammaproteobacteria
DSANT08_maxbin.002,GH29+GH163+CBM14+GH18+CBM54+GH92+CBM9+CBM0+GH130+GH92+CBM47,Bacteroidia
DSANT08_maxbin.006,GT4+GT4,Anaerolineae
DSANT08_maxbin.010,GT4,Gammaproteobacteria
DSANT08_maxbin.020,GT4,Polyangia
DSANT08_maxbin.030,GT51,Krumholzibacteria
DSANT09_maxbin.031,GH3,Gammaproteobacteria
DSANT09_maxbin.042,GH23+CBM50,Desulfobulbia
DSANT11_maxbin.001,GT51,Polyangia
DSANT11_maxbin.005,GT4,Acidimicrobiia
DSANT11_maxbin.021,GH29,DSWW01
DSANT11_maxbin.021,GT2_Glycos_transf_2+GT2,DSWW01
DSANT11_maxbin.026,CBM9,Aminicenantia
DSANT95_maxbin.006,CBM9,Gammaproteobacteria
DSANT95_maxbin.007,CBM54+GH16_3+CBM4+GH16+CBM54+GH16_3+CBM4+GH16+GH2+GH97+CBM6+GH3,Bacteroidia
DSANT95_maxbin.007,GH3,Bacteroidia
DSANT95_maxbin.011,GH103,Alphaproteobacteria
DSANT95_maxbin.014,GH23,Alphaproteobacteria
DSANT95_maxbin.014,GT4,Alphaproteobacteria
