MG,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
COG0012,652,679,498,167,199,305,117,108,22,55,52,45,36,43,34,197,188,191,101,261,468,431,542,39,111,141,123,69,383,123,320,181,525,283,89,501,152
COG0016,461,506,431,144,147,196,110,130,37,90,56,53,52,46,48,142,136,159,93,176,524,469,504,31,108,147,138,115,336,94,371,217,550,293,80,565,214
COG0018,204,225,177,42,56,94,43,60,6,22,20,13,16,14,11,76,74,84,50,124,374,332,346,4,76,54,52,42,179,50,246,125,320,170,42,278,65
COG0048,712,835,674,289,273,404,189,280,79,186,154,159,150,119,129,195,189,175,145,196,581,532,628,104,143,228,235,255,531,191,472,301,781,486,117,812,345
COG0049,861,1016,762,310,352,464,223,336,92,175,135,156,134,99,105,229,223,225,170,252,597,565,671,95,132,263,240,226,564,177,483,298,825,457,134,830,316
COG0052,1168,1335,1000,421,463,578,264,358,135,256,180,216,161,122,133,279,273,324,192,284,707,630,804,136,147,324,309,287,725,225,485,373,922,531,171,1013,373
COG0080,1121,1225,1014,437,410,621,283,401,132,235,164,215,150,126,141,268,254,299,195,298,775,712,836,167,147,320,335,343,733,212,561,416,1017,591,167,1052,406
COG0081,1045,1236,901,354,370,527,258,322,123,231,166,196,147,143,142,269,266,292,187,295,614,542,771,121,139,291,282,235,643,204,441,306,857,493,143,910,341
COG0085,127,144,110,23,36,68,21,50,2,21,11,8,5,3,4,62,58,45,37,71,251,211,290,2,50,31,41,28,119,38,175,103,246,128,34,181,50
COG0086,6748,7418,5882,2836,2735,3474,1605,2595,1086,1850,1294,1614,1274,996,1147,1508,1510,1563,1292,1340,3171,2933,3964,1442,763,1873,1931,2063,3752,1167,2785,1906,5603,3674,848,6913,2951
COG0087,995,1155,895,359,371,495,285,345,122,251,183,186,152,127,152,266,243,297,193,281,741,668,776,118,149,297,284,291,593,203,509,342,872,492,152,1000,359
COG0088,982,1120,843,294,328,465,274,348,132,219,176,216,144,124,142,246,251,273,183,278,620,580,741,131,143,275,303,248,610,209,454,370,823,505,150,910,300
COG0090,815,936,724,258,297,377,226,317,77,193,125,142,121,103,100,243,239,243,167,261,600,524,663,84,131,245,236,210,533,186,437,291,800,461,112,833,323
