OXY	value	mbsl	mbsf
ART45	1950.36	420	0
ART46	1903.54	410	0
ART47	1625.46	277	0
ART48	1949.51	848	0
ART49	2101.74	1534	0
ART50	2052.21	246	0
CIGOMA4	1554.03	2967	0.104
CIGOMD18	883.371	1295	0.104
DELGOM54	1381.15	1400	0.15
DELGOM55	689.091	1400	0.15
DELGOM56	678.523	1400	0.15
DELGOM57	1211.4	1400	0.15
DELGOM58	555.588	1400	0.15
DELGOM59	572.225	1400	0.15
DELGOM60	522.698	1400	0.15
DSANT06	1570.68	0.9	0.05
DSANT08	1723.86	1.8	0.05
DSANT09	1919.3	0	0.05
DSANT11	1219.62	0	0.05
DSANT95	1892.01	0	0.05
GBGOC44	624.666	2000	0.04
GBGOC45	575.982	2000	0.01
GBGOC47	784.79	2000	0.03
GYRPAC92	953.033	5283	0.05
HRSPAC47	733.488	600	0.12
KJGOM4	1765.6	1281	0.02
KJGOM5	1604.18	1281	0.14
KJGOM6	794.987	1281	0.24
KOR52	1610.39	0	0
KOR58	2014.01	0	0
LOKART30	760.07	3250	1.26
LOKART60	536.978	3236	2.23
LOKART62	614.086	3236	1.63
LOKART95	575.289	3236	1.03
MARPAC23	1564.24	7942	0.01
SMMPAC33	695.348	863	0.09
SMMPAC46	809.185	860.5	0.3
