TAXA (CLASS),CIGOMD18,DELGOM55,DELGOM56,DELGOM58,DELGOM59,DELGOM60,LOKART60,KJGOM6,GBGOC44,GBGOC45,HRSPAC47,LOKART30,LOKART62,LOKART95,SMMPAC33,SMMPAC46,GBGOC47,CIGOMA4,DELGOM54,DELGOM57,GYRPAC92,MARPAC23,KJGOM5,KJGOM4,DSANT08,KOR52,KOR58,ART45,ART50,ART48,ART47,ART46,ART49,DSANT09,DSANT95,DSANT06,DSANT11
Actinomycetia,24.680327,25.479254,24.361809,22.173517,21.880252,23.128145,15.44361,21.47283,14.00065,12.771686,9.102847,17.919065,14.167468,15.75159,19.498165,18.629206,8.249111,28.962655,28.24779,26.468798,19.463829,20.935563,25.126472,25.693493,12.777885,21.130838,21.287385,15.831738,17.924343,20.085792,21.724677,19.430814,20.044022,10.610799,10.370014,8.648011,20.532035
Bacteroidia,0.891212,0.913747,1.001081,1.06992,1.102573,1.028313,1.114625,1.164056,1.386281,1.36831,1.379923,1.102231,1.049304,1.087314,1.310033,1.436111,1.933952,0.316446,0.606008,0.672324,0.38124,0.570443,0.635495,0.452038,1.217913,0.778017,0.687134,0.803669,0.659662,0.62322,0.601162,0.644567,0.597115,0.898442,0.66915,1.817826,1.266916
Cytophagia,1.171869,1.198565,1.204454,1.255018,1.282167,1.217728,1.387971,1.500399,1.487951,1.475158,1.294803,1.397239,1.237001,1.316942,1.526446,1.599728,1.690522,0.552458,0.895365,0.977876,0.677903,1.020963,0.969798,0.771678,1.421873,1.127806,1.045762,1.336758,1.167011,1.099541,1.07357,1.164693,1.025691,1.401163,0.393714,1.892011,1.049159
Flavobacteriia,2.059729,2.018809,2.265051,2.555901,2.568565,2.424921,3.369033,3.054,4.044401,4.274655,6.221435,3.743098,3.191309,3.45577,4.175892,3.744593,8.246283,0.625853,1.243,1.527821,1.098085,2.577905,1.572056,1.089834,18.008358,2.6489,2.888434,6.048781,5.438731,4.372082,2.982107,3.634062,4.772161,32.85886,4.92551,37.648814,3.292945
Sphingobacteriia,0.595234,0.589653,0.587141,0.686361,0.675771,0.655023,0.812811,0.827766,1.089102,1.100513,0.879096,0.806026,0.731654,0.832371,0.910647,0.917124,1.373857,0.182935,0.375544,0.428664,0.267154,0.438642,0.431718,0.300325,0.830207,0.526966,0.472643,0.682731,0.570045,0.521203,0.48204,0.544793,0.486893,0.828964,0.221785,1.203417,0.491135
Dehalococcoidia,0.339783,0.426538,0.225143,0.25762,0.152713,0.218377,1.009797,0.293047,0.087475,0.09778,0.085136,0.134118,0.322987,0.361533,0.192224,0.224316,0.065152,0.029771,0.106812,0.134373,0.054423,0.054331,0.111774,0.040656,0.051623,0.047063,0.038461,0.031802,0.032605,0.036324,0.040761,0.033886,0.02975,0.024001,0.008527,0.031161,0.057614
Bacilli,5.506818,5.740513,5.810464,6.475603,6.315328,6.218501,8.262551,6.992856,8.319113,8.765508,8.586035,8.308371,7.664183,8.74485,7.892409,7.423227,7.901999,2.030081,3.657901,4.142104,2.611757,3.577769,4.011723,3.009992,4.211877,3.999352,3.375018,4.495206,4.068945,3.948657,3.78118,3.998275,3.723423,3.334476,2.236069,4.538281,3.911355
Clostridia,2.987073,3.344216,3.557857,4.113789,4.027068,3.927568,4.966951,3.814717,5.224628,5.810354,6.631275,4.250432,4.639606,5.08537,4.536969,4.438629,5.527746,0.890358,1.910171,2.222943,1.067084,1.514701,1.982419,1.285888,2.219744,1.783376,1.607245,1.88412,1.628334,1.608807,1.548072,1.589701,1.463607,1.491241,4.501355,2.618865,2.184932
Fusobacteriia,0.154743,0.156092,0.182049,0.241831,0.23549,0.220043,0.353809,0.250495,0.421686,0.487731,0.610596,0.432477,0.378989,0.420441,0.356742,0.264941,0.755138,0.035714,0.085525,0.104313,0.057285,0.101183,0.114194,0.067616,0.143686,0.10026,0.097633,0.153694,0.119735,0.115321,0.103167,0.110874,0.100107,0.119419,1.013311,0.2121,0.13874
Planctomycetia,2.945924,3.088286,2.410754,2.457542,2.307204,2.489906,2.3616,3.264607,1.608239,1.571779,1.135736,3.271826,2.604966,3.378537,2.617332,2.409622,1.229167,2.052142,3.097731,3.049997,2.448368,3.442951,2.591123,2.661817,1.75114,2.58205,2.103621,2.160587,3.038206,2.420719,2.713613,2.647385,2.893665,1.732779,0.697497,1.394727,2.60291
Alphaproteobacteria,15.265042,15.28407,14.019046,13.539482,13.468575,13.662948,11.169501,14.803554,9.893188,9.28998,12.822434,14.595081,10.516483,13.121133,13.450816,12.716561,6.913787,31.512483,21.074466,19.734446,33.838106,27.123555,23.538566,27.004691,14.798138,18.090792,23.602842,17.299957,20.124767,20.196547,21.623567,20.043766,21.36572,17.765089,16.035033,11.615498,14.270131
Betaproteobacteria,9.149161,8.820074,8.902726,8.504679,8.571691,8.640091,17.756997,8.545818,6.825147,6.231402,5.265658,13.299447,25.046357,15.759361,7.735364,7.908004,5.051193,10.55244,9.970393,9.61369,11.367009,9.918385,9.914528,10.403088,6.935518,10.674832,10.036328,9.470757,9.669799,9.932092,10.275497,10.281221,9.833583,5.233515,5.498291,4.277788,9.208744
Deltaproteobacteria,6.407219,6.696939,7.589965,8.999823,9.149708,8.739903,4.562626,5.987501,11.392248,14.786289,12.057471,3.280256,3.693959,4.035103,7.47721,9.115348,8.631525,3.603335,5.285669,6.036362,3.07205,3.037965,4.664455,3.923471,6.83818,6.468778,5.136418,3.324809,3.178719,3.171237,3.468186,3.34862,3.150959,2.336466,1.428352,2.936992,11.863261
Epsilonproteobacteria,0.772995,0.876787,1.084499,0.961684,1.110136,0.904788,1.2254,0.966319,3.590818,3.36088,6.064126,1.241819,1.133204,1.212078,1.263866,1.273761,12.768584,0.192013,0.40123,0.504625,0.318795,0.449415,0.473786,0.333087,1.232954,0.516796,0.488719,2.612315,0.556429,0.564451,0.486734,0.546614,0.498966,0.737984,0.284354,2.301258,0.79409
Gammaproteobacteria,19.785391,17.254516,18.006215,17.941239,18.155689,17.802304,17.895782,18.613923,20.113859,18.553228,20.980071,18.745777,16.709657,18.0931,18.878009,19.837843,22.563337,13.881973,16.360131,17.435328,19.036109,19.749886,17.409356,17.522701,22.371583,24.044411,21.982953,28.835216,26.632915,26.167986,23.672296,26.762148,24.895772,15.968994,47.749508,14.009688,22.438969
Thermodesulfobacteria,0.08388,0.0943,0.156938,0.161277,0.205951,0.154805,0.129636,0.097795,2.164118,1.482236,0.175276,0.062635,0.095275,0.10729,0.110124,0.14434,0.090614,0.016864,0.048155,0.061556,0.020197,0.025561,0.0545,0.031945,0.044648,0.044376,0.036867,0.032057,0.02855,0.02829,0.027225,0.028129,0.025177,0.023921,0.006908,0.036355,0.050586
Other,7.2036,8.017641,8.634808,8.604714,8.791119,8.566636,8.1773,8.350317,8.351096,8.572511,6.708082,7.410102,6.817598,7.237217,8.067752,7.916646,7.008033,4.562479,6.634109,6.88478,4.220606,5.460782,6.398037,5.40768,5.144673,5.435387,5.112537,4.995803,5.161204,5.107731,5.396146,5.190452,5.093389,4.633887,3.960622,4.817208,5.846478
