genome_id,metagenome_id,genome_length,num_contigs,n50,num_16s,num_5s,num_23s,num_trna,completeness,contamination,quality_score,mimag_quality,otu_id,ecosystem,ecosystem_category,ecosystem_type,habitat,longitude,latitude
3300027773_32,3300027773,3482740,245,19783,1,1,1,40,93.17,1.66,84.87,HQ,OTU-9981,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__,Terrestrial,Soil,Surface soil,-76.3402,40.7999
3300012943_42,3300012943,2898484,55,97406,1,1,1,32,88.63,0.43,86.48,MQ,OTU-9902,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__UBA6038;s__,Terrestrial,Soil,soil,-122.29,37.83
3300012940_19,3300012940,6169885,402,24853,1,1,1,48,97.44,3.81,78.39,HQ,OTU-9885,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudorhodoplanes;s__,Terrestrial,Soil,compost,-122.29,37.83
3300027939_1,3300027939,2399002,372,7075,0,0,0,32,77.63,1.02,72.53,MQ,OTU-9879,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,Terrestrial,Soil,Sand,-119.272,46.372
3300027826_14,3300027826,5549278,43,175694,1,1,1,42,95.94,1.27,89.59,HQ,OTU-9654,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__PH10;s__,Terrestrial,Soil,Surface soil,-76.3402,40.7999
3300015069_5,3300015069,2984435,164,29569,1,1,1,45,96.7,0.22,95.6,HQ,OTU-9414,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_F;s__,Terrestrial,Soil,Glacier forefield soil,-50.0824,67.1568
3300009700_19,3300009700,2496609,178,20524,1,1,1,32,94.35,0.4,92.35,MQ,OTU-9190,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__,Terrestrial,Soil,Peatlands soil,11.881,50.1318
3300027625_13,3300027625,2524267,234,14783,1,0,0,33,92.2,2.23,81.05,MQ,OTU-9190,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__,Terrestrial,Soil,Peatlands soil,11.881,50.1318
3300027696_13,3300027696,2823770,303,12447,0,1,1,29,88.17,3.52,70.57,MQ,OTU-9190,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__,Terrestrial,Soil,Peatlands soil,11.881,50.1318
3300027570_12,3300027570,2182702,275,9204,1,0,0,29,83.58,0.4,81.58,MQ,OTU-9190,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__,Terrestrial,Soil,Peatlands soil,11.881,50.1318
3300009839_23,3300009839,1802496,137,19807,1,0,1,21,80.32,0.62,77.22,MQ,OTU-9190,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__,Terrestrial,Soil,Peatlands soil,11.881,50.1318
3300012005_13,3300012005,3376280,284,15953,1,1,1,43,93.61,0.43,91.46,HQ,OTU-9143,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__UBA6038;s__,Terrestrial,Soil,Permafrost,NULL,NULL
3300027706_22,3300027706,4309703,206,29049,1,1,1,45,98.33,3.39,81.38,HQ,OTU-8792,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Elsterales;f__Elsteraceae;g__;s__,Terrestrial,Soil,Surface soil,-76.3402,40.7999
3300027857_18,3300027857,4819992,27,218887,2,0,1,46,99.5,0.51,96.95,MQ,OTU-8662,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__;s__,Terrestrial,Soil,Surface soil,-76.3402,40.7999
3300012860_5,3300012860,3608191,25,226477,0,0,0,46,99.62,0.41,97.57,MQ,OTU-8433,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia;s__,Terrestrial,Soil,soil,-89.4011,43.073
3300012862_10,3300012862,3589094,13,427745,0,0,0,46,98.95,0.41,96.9,MQ,OTU-8433,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia;s__,Terrestrial,Soil,soil,-89.4011,43.073
3300012879_8,3300012879,4238483,79,83524,0,0,0,53,98.66,1.57,90.81,MQ,OTU-8433,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia;s__,Terrestrial,Soil,soil,-89.4011,43.073
3300012842_15,3300012842,2918978,4,701295,0,0,0,42,99.54,0.41,97.49,MQ,OTU-827,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Porphyrobacter_A;s__,Terrestrial,Soil,soil,-89.4011,43.073
3300012989_14,3300012989,2442720,245,13261,0,0,0,31,89.34,1.26,83.04,MQ,OTU-8110,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__,Terrestrial,Soil,soil,-76.3842,42.4531
3300025582_9,3300025582,2521544,289,11090,0,0,0,34,79.13,1.2,73.13,MQ,OTU-7718,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__,Terrestrial,Soil,Arctic peat soil,-156.61,71.299
3300012830_5,3300012830,5002271,58,143471,0,0,0,50,99.31,2.22,88.21,MQ,OTU-7482,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,Terrestrial,Soil,soil,-89.4011,43.073
3300005615_12,3300005615,3033008,317,12029,1,0,0,32,80.18,1.05,74.93,MQ,OTU-7378,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__,Terrestrial,Soil,"Corn, switchgrass and miscanthus rhizosphere",-85.3738,42.3948
3300005440_11,3300005440,3461646,415,9861,0,0,0,31,76.17,1.42,69.07,MQ,OTU-7378,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__,Terrestrial,Soil,"Corn, switchgrass and miscanthus rhizosphere",-85.3738,42.3948
3300026120_5,3300026120,3004751,322,11992,0,0,0,32,80.28,2.23,69.13,MQ,OTU-7335,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseibacterium;s__,Terrestrial,Soil,Pond soil,-122.133,37.4965
3300012921_17,3300012921,4846940,35,206694,0,0,0,38,97.01,2.24,85.81,MQ,OTU-7305,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas_A;s__,Terrestrial,Soil,Contaminated culture,-109.55,38.5733
3300025634_5,3300025634,3890200,440,10692,1,1,1,23,78.99,1.96,69.19,MQ,OTU-7261,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__,Terrestrial,Soil,Arctic peat soil,-156.61,71.2999
3300015024_21,3300015024,3843261,241,25471,1,1,1,45,96.08,3.86,76.78,HQ,OTU-7098,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__,Terrestrial,Soil,Glacier forefield soil,18.4709,67.9109
3300015024_23,3300015024,3622922,177,35378,0,0,0,44,97.16,1.82,88.06,MQ,OTU-7096,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__,Terrestrial,Soil,Glacier forefield soil,18.4709,67.9109
3300027857_21,3300027857,4173690,70,95086,1,0,0,37,98.7,3.41,81.65,MQ,OTU-7,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__,Terrestrial,Soil,Surface soil,-76.3402,40.7999
3300012859_9,3300012859,3420934,35,120493,0,0,0,44,99.21,0.14,98.51,MQ,OTU-6670,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia;s__,Terrestrial,Soil,soil,-89.4011,43.073
3300026294_4,3300026294,6488169,693,11556,0,0,0,35,89.79,2.85,75.54,MQ,OTU-6638,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__,Terrestrial,Soil,Soil,-149.314,68.6135
3300026217_2,3300026217,6113399,692,10835,1,0,0,36,85.77,2.06,75.47,MQ,OTU-6638,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__,Terrestrial,Soil,Grasslands soil,-149.314,68.6139
3300012921_36,3300012921,3368624,41,114946,1,1,1,43,99.66,0.71,96.11,HQ,OTU-6630,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__,Terrestrial,Soil,Contaminated culture,-109.55,38.5733
3300012921_30,3300012921,3726536,134,39238,0,0,0,41,98.27,1.29,91.82,MQ,OTU-6628,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__,Terrestrial,Soil,Contaminated culture,-109.55,38.5733
